DATE,PM2.5(ug/m3),PM10(ug/m3),CO2(ppm),HCHO(mg/m3),TEMPERATURE,HUMIDITY(%),TEMPUNIT
2024-06-10 00:00:52,001.0,002.0,720,0.060,027.0,043.3,C
2024-06-10 00:01:52,001.5,002.3,722,0.061,026.9,043.3,C
2024-06-10 00:02:52,001.2,002.2,722,0.058,026.9,043.3,C
2024-06-10 00:03:52,000.9,001.6,723,0.060,026.9,043.4,C
2024-06-10 00:04:52,000.9,001.2,726,0.060,026.9,043.3,C
2024-06-10 00:05:52,001.3,002.3,728,0.056,027.0,043.3,C
2024-06-10 00:06:52,001.2,002.3,731,0.057,026.9,043.3,C
2024-06-10 00:07:52,001.2,001.7,732,0.060,026.9,043.2,C
2024-06-10 00:08:52,000.9,001.3,734,0.060,027.0,043.3,C
2024-06-10 00:09:52,001.2,002.1,737,0.057,026.9,043.2,C
2024-06-10 00:10:52,001.1,002.0,739,0.057,027.0,043.2,C
2024-06-10 00:11:52,001.3,002.3,740,0.059,026.9,043.2,C
2024-06-10 00:12:52,000.8,001.4,744,0.057,026.9,043.2,C
2024-06-10 00:13:52,001.0,001.9,746,0.057,027.0,043.3,C
2024-06-10 00:14:52,001.3,002.3,749,0.059,026.9,043.2,C
2024-06-10 00:15:52,001.5,002.4,751,0.058,027.0,043.2,C
2024-06-10 00:16:52,001.3,002.4,750,0.058,026.9,043.2,C
2024-06-10 00:17:52,001.2,001.9,755,0.061,026.9,043.1,C
2024-06-10 00:18:52,001.2,002.2,759,0.062,027.0,043.3,C
2024-06-10 00:19:52,001.3,002.6,759,0.061,027.0,043.1,C
2024-06-10 00:20:52,001.2,002.2,762,0.063,027.0,043.1,C
2024-06-10 00:21:52,000.9,001.5,763,0.063,026.9,043.2,C
2024-06-10 00:22:52,000.9,001.5,758,0.062,026.9,043.1,C
2024-06-10 00:23:52,001.1,002.0,754,0.060,027.1,043.2,C
2024-06-10 00:24:52,001.0,002.1,754,0.061,026.9,043.0,C
2024-06-10 00:25:52,001.2,002.2,754,0.065,026.9,043.1,C
2024-06-10 00:26:52,001.3,002.0,752,0.061,027.0,043.1,C
2024-06-10 00:27:52,001.1,001.7,751,0.059,027.0,042.9,C
2024-06-10 00:28:52,001.0,001.9,751,0.061,027.0,043.0,C
2024-06-10 00:29:52,001.4,002.8,752,0.061,027.0,042.9,C
2024-06-10 00:30:52,001.2,002.3,750,0.062,027.0,042.9,C
2024-06-10 00:31:52,001.4,003.0,750,0.060,027.0,043.0,C
2024-06-10 00:32:52,001.2,001.5,748,0.061,027.0,042.9,C
2024-06-10 00:33:52,001.1,001.6,753,0.061,027.1,042.9,C
2024-06-10 00:34:52,001.3,002.3,755,0.061,027.0,042.9,C
2024-06-10 00:35:52,001.2,001.7,757,0.061,027.0,042.9,C
2024-06-10 00:36:52,001.1,001.8,759,0.061,027.0,043.0,C
2024-06-10 00:37:52,000.8,001.4,761,0.060,027.0,042.9,C
2024-06-10 00:38:52,001.0,001.7,761,0.060,027.1,042.9,C
2024-06-10 00:39:52,001.1,001.9,764,0.063,027.0,042.9,C
2024-06-10 00:40:52,001.4,002.3,765,0.062,027.0,042.9,C
2024-06-10 00:41:52,001.1,002.0,769,0.061,027.0,043.0,C
2024-06-10 00:42:52,001.0,001.5,768,0.062,027.0,042.9,C
2024-06-10 00:43:52,001.1,002.1,766,0.063,027.1,042.9,C
2024-06-10 00:44:52,001.0,002.1,767,0.064,027.0,042.9,C
2024-06-10 00:45:52,001.3,002.5,767,0.062,027.0,042.9,C
2024-06-10 00:46:52,001.1,002.0,768,0.062,027.1,043.0,C
2024-06-10 00:47:53,000.9,001.4,768,0.061,027.0,042.9,C
2024-06-10 00:48:53,001.3,002.4,772,0.062,027.1,043.0,C
2024-06-10 00:49:53,001.3,002.0,778,0.063,027.0,042.9,C
2024-06-10 00:50:53,001.2,002.1,783,0.062,027.0,042.9,C
2024-06-10 00:51:53,001.4,002.2,782,0.064,026.9,042.9,C
2024-06-10 00:52:53,000.8,001.4,780,0.065,027.0,042.9,C
2024-06-10 00:53:53,001.3,002.3,780,0.065,027.1,042.8,C
2024-06-10 00:54:53,001.0,001.7,782,0.063,027.0,042.8,C
2024-06-10 00:55:53,001.0,001.7,782,0.061,027.0,042.8,C
2024-06-10 00:56:53,000.8,001.4,781,0.063,027.0,042.9,C
2024-06-10 00:57:53,001.3,002.0,782,0.065,027.0,042.8,C
2024-06-10 00:58:53,001.7,003.0,782,0.063,027.1,042.7,C
2024-06-10 00:59:53,000.9,001.7,782,0.062,027.0,042.8,C
2024-06-10 01:00:53,001.1,001.9,783,0.062,027.0,042.8,C
2024-06-10 01:01:53,001.4,002.6,783,0.061,027.0,042.9,C
2024-06-10 01:02:53,001.0,001.6,786,0.063,027.0,042.8,C
2024-06-10 01:03:53,001.0,001.7,785,0.062,027.1,042.8,C
2024-06-10 01:04:53,001.0,001.9,789,0.062,027.0,042.7,C
2024-06-10 01:05:53,001.0,001.4,789,0.060,027.0,042.7,C
2024-06-10 01:06:53,000.9,001.8,789,0.060,027.1,042.8,C
2024-06-10 01:07:53,001.2,002.1,790,0.061,027.0,042.7,C
2024-06-10 01:08:53,001.1,001.9,791,0.061,027.1,042.7,C
2024-06-10 01:09:53,001.5,002.7,791,0.061,027.0,042.7,C
2024-06-10 01:10:53,001.2,002.1,792,0.062,027.0,042.7,C
2024-06-10 01:11:53,001.2,001.9,794,0.063,027.1,042.8,C
2024-06-10 01:12:53,001.0,001.2,800,0.066,027.0,042.7,C
2024-06-10 01:13:53,001.3,002.3,800,0.065,027.0,042.7,C
2024-06-10 01:14:53,001.1,001.9,800,0.066,027.0,042.7,C
2024-06-10 01:15:53,001.3,002.3,805,0.066,027.0,042.6,C
2024-06-10 01:16:53,001.2,002.2,805,0.065,027.1,042.8,C
2024-06-10 01:17:53,001.1,001.5,801,0.066,027.0,042.6,C
2024-06-10 01:18:53,001.1,001.7,802,0.067,027.0,042.6,C
2024-06-10 01:19:53,000.9,001.5,803,0.066,027.0,042.7,C
2024-06-10 01:20:53,001.1,002.0,802,0.065,027.0,042.6,C
2024-06-10 01:21:53,000.9,001.5,801,0.065,027.1,042.6,C
2024-06-10 01:22:53,000.9,001.6,804,0.065,027.0,042.7,C
2024-06-10 01:23:53,001.4,002.7,802,0.065,027.0,042.6,C
2024-06-10 01:24:53,001.3,002.0,804,0.065,027.0,042.7,C
2024-06-10 01:25:53,001.1,001.9,803,0.066,027.0,042.6,C
2024-06-10 01:26:53,001.4,002.5,808,0.064,027.1,042.6,C
2024-06-10 01:27:53,001.4,002.4,809,0.064,027.0,042.6,C
2024-06-10 01:28:53,001.0,001.9,808,0.064,027.0,042.6,C
2024-06-10 01:29:53,001.0,001.7,809,0.063,027.1,042.7,C
2024-06-10 01:30:53,001.5,003.0,813,0.066,027.0,042.6,C
2024-06-10 01:31:53,001.1,002.1,816,0.065,027.1,042.6,C
2024-06-10 01:32:53,001.0,001.7,820,0.065,027.0,042.6,C
2024-06-10 01:33:53,001.5,002.4,821,0.065,027.0,042.6,C
2024-06-10 01:34:53,001.0,001.9,821,0.064,027.1,042.7,C
2024-06-10 01:35:53,001.1,002.1,823,0.065,027.0,042.6,C
2024-06-10 01:36:53,001.4,002.2,824,0.062,027.0,042.6,C
2024-06-10 01:37:53,001.1,001.7,822,0.065,027.0,042.7,C
2024-06-10 01:38:53,001.1,002.1,824,0.065,027.0,042.6,C
2024-06-10 01:39:53,001.2,002.3,827,0.067,027.1,042.6,C
2024-06-10 01:40:53,001.3,002.5,829,0.067,027.0,042.5,C
2024-06-10 01:41:53,000.9,001.7,828,0.067,027.0,042.5,C
2024-06-10 01:42:53,001.3,002.0,828,0.067,027.0,042.6,C
2024-06-10 01:43:53,001.0,001.6,827,0.069,027.0,042.5,C
2024-06-10 01:44:53,000.9,001.4,828,0.069,027.1,042.5,C
2024-06-10 01:45:53,000.9,001.8,829,0.068,027.0,042.5,C
2024-06-10 01:46:53,001.4,002.4,827,0.068,027.0,042.5,C
2024-06-10 01:47:53,000.9,001.6,828,0.069,027.0,042.6,C
2024-06-10 01:48:53,000.9,001.7,827,0.066,027.0,042.5,C
2024-06-10 01:49:53,001.3,002.2,829,0.065,027.1,042.5,C
2024-06-10 01:50:53,001.1,001.5,829,0.065,027.0,042.5,C
2024-06-10 01:51:53,000.8,001.5,825,0.065,027.0,042.5,C
2024-06-10 01:52:53,001.1,001.9,824,0.063,027.1,042.6,C
2024-06-10 01:53:53,001.0,001.6,828,0.065,027.0,042.5,C
2024-06-10 01:54:53,001.2,002.1,834,0.065,027.0,042.4,C
2024-06-10 01:55:54,001.0,001.7,833,0.066,027.0,042.5,C
2024-06-10 01:56:54,000.9,001.6,836,0.066,027.0,042.5,C
2024-06-10 01:57:54,001.1,002.2,835,0.066,027.0,042.6,C
2024-06-10 01:58:54,001.8,003.2,841,0.067,027.0,042.5,C
2024-06-10 01:59:54,001.2,002.0,838,0.067,027.1,042.5,C
2024-06-10 02:00:54,000.8,001.3,837,0.067,027.0,042.5,C
2024-06-10 02:01:54,000.8,001.6,837,0.065,027.0,042.4,C
2024-06-10 02:02:54,001.3,002.2,839,0.065,027.0,042.6,C
